link Location Recorder Datum Jaar L00 L0 L1 L2 M1 M2 AM AV Totaal Totaal_Larven.All Totaal_Larven.CPUE Totaal_Juvenielen Totaal_Adulten
"Arendonk 2-2016-04-27" "Arendonk 2" Natuurwerk 2016-04-27T00:00:00Z 2016 NA 294 3 NA NA NA NA NA 297 297 297 0 0
"Arendonk 1-2016-05-11" "Arendonk 1" Natuurwerk 2016-05-11T00:00:00Z 2016 NA 7 NA NA NA NA NA NA 7 7 7 0 0
"Arendonk 2-2016-05-11" "Arendonk 2" Natuurwerk 2016-05-11T00:00:00Z 2016 92 423 7 5 NA NA NA NA 527 527 435 0 0
"Arendonk 2-2016-05-12" "Arendonk 2" Natuurwerk 2016-05-12T00:00:00Z 2016 29 269 4 1 NA NA NA NA 303 303 274 0 0
"Arendonk 1-2016-05-12" "Arendonk 1" Natuurwerk 2016-05-12T00:00:00Z 2016 NA 32 NA NA NA NA NA NA 32 32 32 0 0
"Arendonk 2-2016-05-13" "Arendonk 2" Natuurwerk 2016-05-13T00:00:00Z 2016 138 484 11 10 NA NA NA NA 643 643 505 0 0
"Kasterlee 13-2016-05-11" "Kasterlee 13" Natuurwerk 2016-05-11T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-05-11" "Kasterlee 3" Natuurwerk 2016-05-11T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-05-11" "Kasterlee 7" Natuurwerk 2016-05-11T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 12-2016-05-12" "Kasterlee 12" Natuurwerk 2016-05-12T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2016-05-12" "Kasterlee 2" Natuurwerk 2016-05-12T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 14-2016-05-12" "Kasterlee 14" Natuurwerk 2016-05-12T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Driehoek-2016-05-18 Driehoek Natuurwerk 2016-05-18T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2016-05-19 Bospoel Natuurwerk 2016-05-19T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 1-2016-06-09" "Arendonk 1" Natuurwerk 2016-06-09T00:00:00Z 2016 NA 123 NA NA NA NA NA NA 123 123 123 0 0
"Arendonk 2-2016-06-09" "Arendonk 2" Natuurwerk 2016-06-09T00:00:00Z 2016 151 118 10 NA NA NA NA NA 279 279 128 0 0
"Arendonk 1-2016-06-10" "Arendonk 1" Natuurwerk 2016-06-10T00:00:00Z 2016 NA 50 NA NA NA NA 1 1 52 50 50 0 2
"Arendonk 2-2016-06-10" "Arendonk 2" Natuurwerk 2016-06-10T00:00:00Z 2016 286 114 8 NA NA NA NA NA 408 408 122 0 0
"Kasterlee 9-2016-06-08" "Kasterlee 9" Natuurwerk 2016-06-08T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 1-2016-06-08" "Kasterlee 1" Natuurwerk 2016-06-08T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-06-09" "Kasterlee 3" Natuurwerk 2016-06-09T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-06-10" "Kasterlee 7" Natuurwerk 2016-06-10T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 1-2016-06-08" "Arendonk 1" Natuurwerk 2016-06-08T00:00:00Z 2016 2 137 NA NA NA NA NA NA 139 139 137 0 0
"Arendonk 4-2016-07-13" "Arendonk 4" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 14-2016-05-13" "Kasterlee 14" Natuurwerk 2016-05-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 12-2016-07-13" "Kasterlee 12" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 13-2016-07-13" "Kasterlee 13" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 1-2016-07-13" "Kasterlee 1" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-07-13" "Kasterlee 3" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-07-13" "Kasterlee 7" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2016-07-13" "Kasterlee 9" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 14-2016-07-13" "Kasterlee 14" Natuurwerk 2016-07-13T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2016-07-15" "Rechthoekigevijver 1" Natuurwerk 2016-07-15T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 2-2016-07-15" "Rechthoekigevijver 2" Natuurwerk 2016-07-15T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2016-07-15 Bospoel Natuurwerk 2016-07-15T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Driehoek-2016-07-15 Driehoek Natuurwerk 2016-07-15T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2016-07-27" "Arendonk 2" Natuurwerk 2016-07-27T00:00:00Z 2016 NA 681 966 537 15 NA NA NA 2199 2184 2184 15 0
"Arendonk 1-2016-07-27" "Arendonk 1" Natuurwerk 2016-07-27T00:00:00Z 2016 NA NA 128 NA 1 NA NA NA 129 128 128 1 0
"Arendonk 2-2016-07-28" "Arendonk 2" Natuurwerk 2016-07-28T00:00:00Z 2016 NA 110 94 226 11 NA NA NA 441 430 430 11 0
"Arendonk 1-2016-07-28" "Arendonk 1" Natuurwerk 2016-07-28T00:00:00Z 2016 NA 1 12 7 1 NA NA 1 22 20 20 1 1
"Arendonk 2-2016-07-29" "Arendonk 2" Natuurwerk 2016-07-29T00:00:00Z 2016 1 155 86 253 32 NA NA NA 527 495 494 32 0
"Arendonk 1-2016-07-29" "Arendonk 1" Natuurwerk 2016-07-29T00:00:00Z 2016 NA NA 2 NA 1 NA NA NA 3 2 2 1 0
"Arendonk 3-2016-08-10" "Arendonk 3" Natuurwerk 2016-08-10T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2016-08-10" "Arendonk 2" Natuurwerk 2016-08-10T00:00:00Z 2016 NA 3 21 132 1 NA NA NA 157 156 156 1 0
