UUID;net_verhoogd;hoek;larven;metamorf;adult;post_metamorf;totaal
84388f24-dc95-4374-a92b-f991dd19bd34;TRUE;45°;85;1;1;2;87
047079e1-ebf3-4c84-bf43-e787d8b1720c;TRUE;45°;18;6;0;6;24
5db52697-dae8-46b9-8986-bac3b7c47e23;TRUE;45°;15;4;0;4;19
151f1c07-97f7-4e55-84f4-6d11a0eca58f;TRUE;45°;118;21;2;23;141
c2475fb2-12a2-4896-ac50-73668b20eb33;TRUE;45°;114;7;1;8;122
91bbb52d-71ef-4c83-9a4f-14d144f601e8;TRUE;45°;2;1;0;1;3
1846afaa-ec47-41eb-b588-1a7d17e517bf;TRUE;45°;186;1;1;2;188
f39615d2-4861-45cf-9ff9-18ade180fd93;TRUE;00°;0;0;0;0;0
b33081f8-ca1e-4f20-8ba8-e1ece38f3b64;TRUE;00°;0;0;0;0;0
7a114922-aa61-4d04-b54b-703e12fc41af;TRUE;90°;0;0;0;0;0
5003be39-1aa9-41f3-9d0b-8a235347819c;TRUE;00°;0;0;0;0;0
c1e217ab-0c4e-4155-a75a-f979628fb6ad;TRUE;00°;0;0;0;0;0
de2a48cc-a0f0-43f9-a803-ff63f112e362;TRUE;00°;0;0;0;0;0
73efcef1-27a1-413a-9ac8-9a36c0e3bce3;FALSE;00°;0;1;0;1;1
ccb9de65-e436-4404-a451-d101009ed4b9;FALSE;00°;0;0;0;0;0
3134c8d5-69b0-41d1-9006-a8ec5b7ab4c0;TRUE;00°;1;0;0;0;1
d228613d-3c2f-439f-bbdc-caee0361e854;TRUE;00°;47;7;1;8;55
c4b89b3d-6c45-4827-8184-0282f7308e51;TRUE;00°;13;0;0;0;13
041a7043-da05-4122-b36c-e39d58e17a9b;TRUE;00°;0;0;0;0;0
0267c91e-85de-4fbc-a90f-d6951edb9581;TRUE;00°;0;0;0;0;0
babf42c1-4552-43d0-8b96-76b1f699ac22;TRUE;00°;1278;0;3;3;1281
f67df926-3242-41d0-8b89-73a2f3b6ccf5;TRUE;00°;208;3;2;5;213
b5000acc-721e-44af-bdee-39cdcc2a2b8d;TRUE;45°;126;1;1;2;128
dcca02bd-661f-49ca-94e3-485c859c6fc8;TRUE;00°;306;4;0;4;310
334d0bf5-6217-4b71-b09f-29e898cd4d43;TRUE;00°;0;0;0;0;0
79aaae61-28c1-47b9-85bd-9c04a5bf69e2;TRUE;00°;83;2;1;3;86
f25ddbeb-08c3-4a3f-a0c3-b21bb6ab77e0;TRUE;45°;81;2;1;3;84
8dcb98b7-6b6a-4c61-b8de-d8f4c7e57cf0;TRUE;45°;94;1;0;1;95
3f800b82-2da1-4cb9-8706-1ca78e3bb1c8;TRUE;45°;225;2;0;2;227
1ffd87c1-cedf-4cc4-b23a-63c21e4ee89a;FALSE;45°;133;0;0;0;133
999ff59e-dc97-4103-a91a-bec9ad761978;TRUE;00°;0;0;0;0;0
69e57d5e-583f-40c2-9c2f-1aa7abcab7a6;TRUE;00°;0;0;0;0;0
38833b38-7912-4579-a380-3b7fcb4fa408;TRUE;00°;0;0;1;1;1
9a14e48d-64f0-42cc-a802-3159a508c915;FALSE;00°;0;0;0;0;0
59d9c6db-d425-4036-8c2d-5449cac483e3;TRUE;00°;0;0;0;0;0
deff4814-0468-43ec-91b6-c5a9b6d76039;TRUE;00°;0;0;0;0;0
c98e4fd8-d511-447a-bedf-1bd60cbba181;TRUE;00°;0;0;1;1;1
2c1ad831-9205-49e6-88b3-6c7505a6be09;FALSE;00°;0;0;0;0;0
51f194ea-4243-493b-8582-7089fa733f97;TRUE;00°;0;0;0;0;0
d3021af0-c9a5-478c-98ef-229ca891c8b9;TRUE;00°;0;0;0;0;0
13836a1f-8430-4b64-b316-f6ce87a989f4;FALSE;00°;0;0;0;0;0
a17d21f4-4ffd-429d-a371-d84bbced2e3f;FALSE;00°;0;1;0;1;1
77030965-00fa-47c5-9425-0217c2caa97f;TRUE;00°;0;0;0;0;0
1c533fba-47a8-4e1c-9e74-567f95246b49;TRUE;00°;0;0;0;0;0
469972e8-ecde-4136-811b-1b5c4db9aa7b;TRUE;00°;0;1;0;1;1
bcf1de11-5f1a-41b6-9cee-4881bbcbba9a;FALSE;00°;0;0;0;0;0
ecb8e09e-7496-4024-91ec-ace91d8183e7;TRUE;00°;0;0;0;0;0
731435fd-ad41-4595-9d55-f42775792da4;TRUE;00°;0;0;0;0;0
c6788015-ddf8-4b04-b2a0-8655fcbceb4d;TRUE;00°;0;0;2;2;2
