Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Arendonk 1;0;0;4;8;3;5;0;0;0;11;27;0;2017-10-04;0;0;0;0;Ja;Ja;4;8
Arendonk 2;0;0;4;8;13;50;4827;4827;0;-34;-18;29;2017-10-20;27;0;7;182;Nee;Nee;4;8
Arendonk 2b;0;0;4;8;1;1;0;0;0;15;31;0;2017-06-22;0;0;0;0;Ja;Ja;4;8
Arendonk 3;0;0;4;8;15;62;628;625;3;-46;-30;96;2017-10-20;38;0;11;286;Nee;Nee;4;8
Arendonk 4;0;0;4;8;1;1;0;0;0;15;31;0;2017-06-22;0;0;0;0;Ja;Ja;4;8
Banaan;0;0;4;8;1;2;0;0;0;14;30;0;2017-04-25;0;0;0;0;Ja;Ja;4;8
Bospoel;0;0;4;8;5;6;0;0;0;10;26;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Driehoek;0;0;4;8;4;5;0;0;0;11;27;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 1;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-12;0;0;0;0;Ja;Ja;4;8
Kasterlee 12;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Kasterlee 13;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Kasterlee 14;0;0;4;8;4;4;0;0;0;12;28;0;2017-10-20;0;0;0;0;Ja;Ja;4;8
Kasterlee 2;0;0;4;8;5;6;0;0;0;10;26;0;2017-10-20;0;0;0;0;Ja;Ja;4;8
Kasterlee 3;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-20;0;0;0;0;Ja;Ja;4;8
Kasterlee 7;0;0;4;8;5;6;1;0;1;10;26;0;2017-10-20;0;0;0;0;Ja;Ja;4;8
Kasterlee 9;0;0;4;8;4;4;0;0;0;12;28;0;2017-10-20;0;0;0;0;Ja;Ja;4;8
Natuurpuntpoel;0;0;4;8;2;2;0;0;0;14;30;0;2017-06-21;0;0;0;0;Ja;Ja;4;8
Nijlen A2;0;0;4;8;2;6;0;0;0;10;26;0;2017-07-27;0;0;0;0;Ja;Ja;4;8
Nijlen A3a;0;0;4;8;1;1;0;0;0;15;31;0;2017-06-02;0;0;0;0;Ja;Ja;4;8
Nijlen A4;0;0;4;8;1;1;0;0;0;15;31;0;2017-10-25;0;0;0;0;Ja;Ja;4;8
Nijlen B1;0;0;4;8;1;1;0;0;0;15;31;0;2017-06-02;0;0;0;0;Ja;Ja;4;8
Nijlen B11;0;0;4;8;1;1;0;0;0;15;31;0;2017-07-26;0;0;0;0;Ja;Ja;4;8
Nijlen B13;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Nijlen B14;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-25;0;0;0;0;Ja;Ja;4;8
Nijlen B2;0;0;4;8;3;3;0;0;0;13;29;0;2017-12-10;0;0;0;0;Ja;Ja;4;8
Nijlen B3a;0;0;4;8;3;3;0;0;0;13;29;0;2017-12-10;0;0;0;0;Ja;Ja;4;8
Nijlen B3b;0;0;4;8;5;5;0;0;0;11;27;0;2017-12-10;0;0;0;0;Ja;Ja;4;8
Nijlen B4;0;0;4;8;3;3;0;0;0;13;29;0;2017-12-10;0;0;0;0;Ja;Ja;4;8
Nijlen B5;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Nijlen B6;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-12;0;0;0;0;Ja;Ja;4;8
Nijlen B7;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Nijlen B9;0;0;4;8;3;3;1;0;1;13;29;0;2017-10-25;0;0;0;0;Ja;Ja;4;8
Nijlen C11;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Nijlen C12;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Nijlen C13;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Nijlen C14;0;0;4;8;1;1;0;0;0;15;31;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Nijlen C15;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Nijlen C16;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-13;0;0;0;0;Ja;Ja;4;8
Nijlen C2;0;0;4;8;1;1;0;0;0;15;31;0;2017-10-26;0;0;0;0;Ja;Ja;4;8
Nijlen C3;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-26;0;0;0;0;Ja;Ja;4;8
Nijlen C4;0;0;4;8;1;1;0;0;0;15;31;0;2017-05-10;0;0;0;0;Ja;Ja;4;8
Nijlen C5;0;0;4;8;3;3;0;0;0;13;29;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Nijlen C6;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-26;0;0;0;0;Ja;Ja;4;8
Nijlen C8;0;0;4;8;2;2;0;0;0;14;30;0;2017-10-25;0;0;0;0;Ja;Ja;4;8
Nijlen C9;0;0;4;8;1;1;0;0;0;15;31;0;2017-10-26;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 1;0;0;4;8;5;5;0;0;0;11;27;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 2;0;0;4;8;5;5;0;0;0;11;27;0;2017-10-18;0;0;0;0;Ja;Ja;4;8
Retiebaan 1;0;0;4;8;1;3;0;0;0;13;29;0;2017-07-20;0;0;0;0;Ja;Ja;4;8
Retiebaan 2;0;0;4;8;1;2;1;0;1;14;30;1;2017-07-20;0;1;0;0;Ja;Ja;4;8
Scheps 10;10;260;4;8;7;22;131;102;29;-6;10;5;2017-09-29;0;5;0;0;Ja;Ja;4;8
Scheps 11;0;0;4;8;1;1;0;0;0;15;31;0;2017-08-09;0;0;0;0;Ja;Ja;4;8
Scheps 14;0;0;4;8;1;2;0;0;0;14;30;0;2017-09-28;0;0;0;0;Ja;Ja;4;8
Scheps 15;0;0;4;8;1;2;0;0;0;14;30;0;2017-09-28;0;0;0;0;Ja;Ja;4;8
Scheps 2;11;286;4;8;2;10;219;99;120;6;22;26;2017-09-14;0;7;9;234;Nee;Nee;4;8
Scheps 6;77;2002;8;15;15;65;1892;1875;17;-33;-5;2;2017-09-29;0;2;0;0;Ja;Ja;4;8
Scheps 7;0;0;4;8;4;7;1;1;0;9;25;0;2017-08-09;0;0;0;0;Ja;Ja;4;8
Scheps 8;4;104;4;8;6;13;10;9;1;3;19;1;2017-09-14;0;1;0;0;Ja;Ja;4;8
Scheps 9;0;0;4;8;4;8;0;0;0;8;24;0;2017-08-09;0;0;0;0;Ja;Ja;4;8
Watermolen;0;0;4;8;1;4;0;0;0;12;28;0;2017-08-02;0;0;0;0;Ja;Ja;4;8
